class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Taxi,0.458574146,0.227860585,-0.599831402,1,0.457035124,0.190570414,-0.571932197,1,0.461865366,0.19144243,-0.572012901,0.99413991,0.466916621,0.192177713,-0.572094321,1,0.438702196,0.186295867,-0.598258615,1,0.429869592,0.183948934,-0.598315895,0.994772375,0.42105931,0.181781903,-0.598343253,1,0.451770067,0.198833302,-0.40941748,0.999014258,0.388048202,0.187888503,-0.525102615,0.999088645,0.45633626,0.263125718,-0.534689784,0.987210274,0.431259573,0.256819248,-0.567849874,0.994721413,0.491235167,0.372858047,-0.331132442,0.999907851,0.273059934,0.390229404,-0.46296683,0.999451935,0.609042048,0.553909183,-0.306625634,0.999652624,0.207079917,0.698865294,-0.500812888,0.99902761,0.753694415,0.640491784,-0.416285098,0.994582355,0.232237145,1.009032369,-0.549619138,0.961846769,0.788478613,0.647686243,-0.439572811,0.982979238,0.233585551,1.096556306,-0.590984285,0.919381499,0.801454365,0.638491213,-0.493038028,0.988629103,0.255219579,1.091456532,-0.628581047,0.937574983,0.780875921,0.642890394,-0.442230523,0.990486324,0.26376754,1.051393151,-0.567784727,0.944507003,0.427768618,0.827681661,0.020475416,0.998908639,0.320064962,0.846058249,-0.018927373,0.998172641,0.431561559,1.109235883,0.204462364,0.308679014,0.313974917,1.121859431,0.145166397,0.242921725,0.405481517,1.317070603,0.555231452,0.008588786,0.31614244,1.315045834,0.545280814,0.003802418,0.397036463,1.340644836,0.585360587,0.020227956,0.309282959,1.33681047,0.575741529,0.015262541,0.415907204,1.418157339,0.489810169,0.003964495,0.345671088,1.415788889,0.472168863,0.001295616
Taxi,0.457866669,0.247191474,-0.569157064,1,0.45654574,0.210655823,-0.545904517,1,0.461320579,0.211857647,-0.545994163,0.622889936,0.466332525,0.212881178,-0.54609549,1,0.439219803,0.2048264,-0.572892129,1,0.43106252,0.201440349,-0.572930455,0.572806418,0.42301026,0.198284104,-0.573064268,1,0.452095509,0.218128964,-0.396787703,0.908379138,0.391694367,0.20117709,-0.519490004,0.871763766,0.454598427,0.281705737,-0.50849241,0.517844737,0.43076548,0.273207784,-0.543385863,0.695561528,0.49080801,0.374710709,-0.310158312,0.999431551,0.274688154,0.394204468,-0.451117665,0.986095965,0.608229578,0.554781377,-0.261221886,0.992197216,0.198762938,0.69935894,-0.462615073,0.964191318,0.753892601,0.632618129,-0.354420125,0.94818145,0.226426631,0.981151402,-0.545461357,0.511804581,0.789339483,0.640948832,-0.370584607,0.894286811,0.232385516,1.06998229,-0.590411305,0.418226689,0.802994609,0.624677896,-0.426688105,0.931158721,0.252121508,1.045902371,-0.627117753,0.504993141,0.782428503,0.630701542,-0.380269319,0.942880511,0.257612735,1.006132483,-0.561476409,0.531968713,0.430185378,0.846753001,0.03466979,0.991451323,0.324072391,0.870676339,-0.032929137,0.980986953,0.437466949,1.101570249,0.204392955,0.018330276,0.323162079,1.120399714,0.109335467,0.019941118,0.412739217,1.298222899,0.544956326,0.000991166,0.32134968,1.306621075,0.505102754,0.000655349,0.401826143,1.322589993,0.574536085,0.004189825,0.314760864,1.327407837,0.535725594,0.006277117,0.432310343,1.39648962,0.489182949,0.000506943,0.347087324,1.407730818,0.441441923,0.000259824
Taxi,0.45369944,0.240965694,-0.533934355,1,0.45415321,0.208360508,-0.50572145,1,0.459134817,0.211569369,-0.50577122,0.87400651,0.464329153,0.211448476,-0.50583297,1,0.436870515,0.197993889,-0.534885406,1,0.428437054,0.19322826,-0.534979761,0.896416187,0.420042753,0.188806266,-0.535176396,1,0.450569868,0.216318071,-0.341141552,0.970771015,0.388486385,0.191868916,-0.474639356,0.969104588,0.451105893,0.277248383,-0.468338966,0.90173769,0.42633906,0.264959008,-0.506194115,0.962556958,0.484357655,0.377054304,-0.243998647,0.99982965,0.273287237,0.390457124,-0.426394075,0.99886167,0.601637244,0.561431646,-0.188898891,0.995933354,0.202498823,0.710482299,-0.445329517,0.982097924,0.754527092,0.630274534,-0.281201303,0.967018366,0.242477149,0.99078083,-0.513109267,0.718691468,0.791385889,0.63969171,-0.291700184,0.925277352,0.25629735,1.08205986,-0.561414838,0.617525399,0.805956006,0.622814775,-0.351960331,0.947792351,0.279452503,1.056730509,-0.589292347,0.674486756,0.785906017,0.629118323,-0.30908221,0.956589818,0.279207438,1.016432047,-0.524887502,0.691225648,0.428389698,0.866474092,0.042668529,0.994229555,0.323551685,0.890696526,-0.04100915,0.991770387,0.434230953,1.132330656,0.191729486,0.026805669,0.322467178,1.166316032,0.055558156,0.040000431,0.408300459,1.384963155,0.496185064,0.001709168,0.306317925,1.393234253,0.385672629,0.001079543,0.395204097,1.426772594,0.51941818,0.007088567,0.29492569,1.427393436,0.408017635,0.009410887,0.432885349,1.475912094,0.417509973,0.000831994,0.332697928,1.491476893,0.289426953,0.000347731
Taxi,0.453137577,0.23356387,-0.576955795,1,0.452201694,0.204197928,-0.544489384,1,0.456401527,0.208155245,-0.544448316,0.989857435,0.460822433,0.209671572,-0.544455945,1,0.436406195,0.192610592,-0.576063335,1,0.428484738,0.1877895,-0.576107383,0.993490458,0.42057243,0.183340609,-0.576247633,1,0.446333826,0.215492815,-0.362832963,0.99841857,0.38961941,0.186934531,-0.504051089,0.997751176,0.449788272,0.270657271,-0.505764008,0.990634322,0.426921606,0.257392585,-0.545732141,0.997338355,0.482919127,0.381929725,-0.26553759,0.999826014,0.274288595,0.386720538,-0.459997118,0.999745548,0.602595985,0.558303356,-0.205627471,0.999771178,0.202164531,0.688221931,-0.492436975,0.997612715,0.756141961,0.625765622,-0.293268085,0.994418621,0.240201041,0.977072418,-0.553111434,0.951726437,0.792700529,0.634281516,-0.309916109,0.981085896,0.247140601,1.064692497,-0.596282244,0.909870684,0.803583801,0.619510591,-0.370055139,0.986110449,0.275164187,1.059192061,-0.634779811,0.916684151,0.786607742,0.625784278,-0.322218329,0.988540709,0.276579052,1.020454526,-0.570035815,0.915499985,0.429073751,0.884608805,0.051059633,0.994581163,0.322593033,0.901193261,-0.049579289,0.994677544,0.438112646,1.175755858,0.193205029,0.135623172,0.308692247,1.196589708,0.074201025,0.176069483,0.405773729,1.441067696,0.5337075,0.007022454,0.296338648,1.443220377,0.446987391,0.002108281,0.390233815,1.480225325,0.560662389,0.021734338,0.284428775,1.479509592,0.472555965,0.009348216,0.435101837,1.538430572,0.454247653,0.003888586,0.328516424,1.540528655,0.341509432,0.00069043
Taxi,0.453449488,0.223262891,-0.573245823,1,0.451521963,0.193304852,-0.536312997,1,0.45548597,0.196331874,-0.536321282,0.965451598,0.459636629,0.198324353,-0.536273479,1,0.435978323,0.183673307,-0.570804954,1,0.428162754,0.179642722,-0.570763409,0.973707974,0.420361757,0.175920978,-0.570862055,1,0.445407957,0.204972416,-0.345548004,0.99605453,0.389451444,0.180708498,-0.496666253,0.991609633,0.450607628,0.260037273,-0.499169976,0.976985991,0.427976221,0.249135867,-0.542039037,0.991759002,0.48629576,0.386797428,-0.249757379,0.99988842,0.276363134,0.38018018,-0.458297014,0.999761641,0.608080328,0.557663023,-0.183170587,0.999985099,0.201196268,0.6790483,-0.499573559,0.999430478,0.764289618,0.620432258,-0.274181128,0.999442875,0.237891793,0.959374011,-0.550378025,0.990999997,0.800666988,0.626614034,-0.292232752,0.997657418,0.244024396,1.044751287,-0.595068455,0.980902433,0.812446117,0.605273306,-0.353369296,0.998262465,0.270656586,1.038297534,-0.632066786,0.98090601,0.797795892,0.611378968,-0.303552181,0.998535872,0.274293989,0.999949217,-0.565711856,0.980050147,0.432692707,0.888916671,0.050936848,0.997417927,0.324211299,0.913709521,-0.04939292,0.99757129,0.441819906,1.207816958,0.088771917,0.519358456,0.310998976,1.230121017,-0.012654726,0.591356456,0.414510101,1.507889509,0.433388144,0.021830618,0.308489144,1.516473532,0.344282568,0.0071296,0.401842684,1.549448013,0.459594488,0.056264888,0.299452901,1.556016922,0.367298007,0.018431917,0.441815048,1.612062216,0.343851268,0.00972606,0.335933506,1.61921525,0.221486419,0.0018207
Taxi,0.449622154,0.22207582,-0.550195515,1,0.449806839,0.190922081,-0.512385845,1,0.45467338,0.193858534,-0.51240921,0.984486997,0.459731638,0.196202576,-0.512423813,1,0.432959378,0.181570068,-0.546991944,1,0.424739987,0.177642122,-0.547033131,0.988697171,0.416536659,0.174002558,-0.547231495,1,0.447110116,0.205457732,-0.312163711,0.998358667,0.386135489,0.181160733,-0.466133296,0.992840648,0.448489577,0.261247784,-0.472176701,0.988723397,0.42347914,0.250406682,-0.515539765,0.99628818,0.483831823,0.389609188,-0.189119846,0.999761283,0.27734068,0.386275738,-0.437301546,0.999520659,0.608578146,0.535685956,-0.081408978,0.999463022,0.199773937,0.676653206,-0.450232118,0.994235218,0.762912631,0.601960123,-0.163654834,0.99337846,0.238812998,0.957250893,-0.512405992,0.966833353,0.801801503,0.615388632,-0.182615623,0.98026365,0.243056104,1.046942949,-0.562713563,0.941233516,0.807355225,0.597010016,-0.244356036,0.985036492,0.272278458,1.036528349,-0.599183023,0.941734672,0.791448236,0.60466826,-0.19495821,0.986205399,0.27666539,1.001161814,-0.527436733,0.941325307,0.434091717,0.919938087,0.074712381,0.986000359,0.325044125,0.933517694,-0.073337629,0.991431475,0.453870237,1.241045833,0.162253931,0.115150839,0.324342251,1.259007573,-0.051183961,0.296441108,0.424438894,1.522789359,0.532555461,0.007446081,0.319726974,1.538571119,0.326881021,0.004171213,0.409893036,1.563153744,0.562097728,0.02591688,0.307640433,1.578197718,0.35534668,0.014325289,0.442809105,1.630176425,0.461175114,0.004455485,0.350327373,1.642004371,0.224277169,0.001503362
Taxi,0.455132633,0.215789959,-0.434813648,1,0.453506291,0.187611789,-0.39607814,1,0.457376182,0.190913036,-0.396033227,0.998055339,0.461473286,0.19379957,-0.396152109,1,0.43848291,0.17731823,-0.437706411,1,0.430649936,0.173058629,-0.437774509,0.997486472,0.422810376,0.169089675,-0.437986463,1,0.445063442,0.205131888,-0.201031715,0.999640226,0.39069277,0.1775814,-0.389707118,0.997625172,0.451296151,0.256559223,-0.357796282,0.995529473,0.428913832,0.243929297,-0.411598355,0.998124778,0.474085152,0.390872836,-0.068086103,0.999844909,0.280314535,0.384324521,-0.369461626,0.999450147,0.602813005,0.532572508,0.069690987,0.99801743,0.203988999,0.667788684,-0.378400624,0.986803591,0.761898816,0.590161324,-0.038997814,0.991061509,0.239117071,0.950670302,-0.471216261,0.909464121,0.802316844,0.603860736,-0.055622131,0.975848138,0.241782025,1.042243958,-0.523363888,0.866401792,0.809973419,0.586012006,-0.122236528,0.982204258,0.271288931,1.028313875,-0.559651494,0.879597425,0.792568445,0.592786789,-0.0736707,0.984186351,0.275703847,0.991002798,-0.48602882,0.886312366,0.433965206,0.927491188,0.090195164,0.991421163,0.329917371,0.938121557,-0.088731751,0.993317962,0.454697669,1.257428885,0.186606079,0.102351241,0.32999745,1.272552371,-0.036314722,0.233317375,0.429573953,1.548723817,0.576750219,0.006701311,0.327715784,1.560251236,0.368580818,0.004995177,0.41571179,1.593355417,0.603684306,0.026714981,0.315454423,1.60543859,0.399529755,0.0212129,0.446099997,1.651961088,0.509615898,0.0042374,0.361240447,1.655390382,0.255881011,0.002006789
Taxi,0.458612055,0.205107376,-0.539976478,1,0.45545873,0.177928135,-0.503744304,1,0.458569825,0.181780502,-0.503700018,0.998557985,0.461929649,0.185368344,-0.503755331,1,0.442078501,0.166396379,-0.544385195,1,0.434604496,0.161806643,-0.544448018,0.999095559,0.427134097,0.157503471,-0.544604182,1,0.441783518,0.199270666,-0.300012648,0.999793947,0.392790824,0.167506993,-0.486375034,0.999298811,0.451597869,0.247228369,-0.459887922,0.9975999,0.430969805,0.232806057,-0.512361109,0.999382615,0.466188252,0.389230251,-0.175483301,0.99984479,0.275836021,0.376940489,-0.441859633,0.999810398,0.594232082,0.526214421,-0.065165386,0.999623537,0.197323695,0.66588378,-0.454102844,0.997366607,0.757753611,0.569285989,-0.179489106,0.995726585,0.242100194,0.957731545,-0.547471046,0.981632948,0.797900498,0.577699602,-0.20348224,0.986433506,0.246208861,1.055998087,-0.603346407,0.96449405,0.804641426,0.558648586,-0.271816015,0.989646733,0.274189651,1.041320562,-0.640694141,0.964604616,0.78900528,0.567297578,-0.213786393,0.990475357,0.277161986,1.001625776,-0.563185096,0.960644364,0.427666605,0.931852996,0.091280833,0.995753765,0.325820535,0.946020961,-0.089861073,0.997708321,0.459580481,1.26764214,0.2354289,0.238573015,0.328747272,1.273702025,0.008139933,0.544250906,0.432970226,1.560254574,0.667259574,0.016689828,0.330392301,1.567598462,0.431090981,0.010664246,0.416097075,1.60605073,0.700817287,0.058693819,0.315595835,1.615335703,0.463174492,0.032722004,0.462716758,1.66215837,0.594233811,0.010594838,0.371444464,1.661903262,0.311422825,0.003812962
Taxi,0.447974056,0.203755975,-0.481792212,1,0.446678936,0.176456407,-0.440381527,1,0.450476408,0.180353716,-0.440370649,0.989892781,0.45451206,0.184028685,-0.440398991,1,0.431987673,0.164382651,-0.481125414,1,0.424354792,0.159594864,-0.481117338,0.991143346,0.416716874,0.155079275,-0.481273174,1,0.438143253,0.196620047,-0.225814074,0.998485982,0.384423554,0.163248226,-0.408505142,0.993873239,0.443404436,0.245461568,-0.397774845,0.99388957,0.421249807,0.230480731,-0.449644953,0.997733355,0.471016318,0.387209833,-0.108890235,0.9998523,0.269810766,0.368072838,-0.383565187,0.999674559,0.600462079,0.522029519,0.015372123,0.999826014,0.191934511,0.66407311,-0.39916724,0.997849941,0.761246681,0.563868105,-0.099399239,0.997928262,0.236624077,0.951406002,-0.46955213,0.987902701,0.80126369,0.573968649,-0.127423495,0.99318248,0.240416363,1.044916987,-0.520027995,0.976725757,0.804678798,0.549074709,-0.189657092,0.994837165,0.272103518,1.031751513,-0.559432864,0.976287842,0.789827228,0.555475175,-0.132732481,0.995496631,0.275458544,0.994430721,-0.484976709,0.975520015,0.429474354,0.942928314,0.084999934,0.98617053,0.319380552,0.953523159,-0.083526149,0.98958081,0.452725112,1.285055161,0.130233124,0.380653173,0.314939588,1.290501118,-0.082686618,0.658616364,0.424523115,1.609746337,0.507548332,0.022101609,0.315607935,1.607840776,0.300425977,0.014383627,0.408965647,1.658372164,0.537493408,0.072698012,0.302226931,1.661536336,0.327917129,0.035041761,0.458044589,1.726360917,0.428442001,0.01133775,0.35235697,1.708316684,0.169144034,0.004232648
Taxi,0.447945118,0.209496081,-0.517624617,1,0.445993513,0.180135489,-0.482525021,1,0.449524879,0.183825478,-0.482505143,0.996798873,0.453313649,0.18731001,-0.482579768,1,0.431869507,0.168371141,-0.522448838,1,0.424238294,0.163445085,-0.522486806,0.996401906,0.416620582,0.158789843,-0.522610545,1,0.435317338,0.198730975,-0.273656011,0.999521732,0.383147299,0.165719792,-0.451524884,0.997151315,0.442110837,0.250406325,-0.433698267,0.995948911,0.420671642,0.235484391,-0.484594911,0.99821496,0.467165411,0.38526845,-0.145573735,0.999848247,0.264549702,0.372851223,-0.411050856,0.999608696,0.601242304,0.51949954,-0.033582367,0.999564111,0.194059819,0.676135421,-0.40880394,0.996943057,0.768156826,0.553252339,-0.174745381,0.996479094,0.239823461,0.96426028,-0.500815749,0.977383971,0.809786499,0.563865304,-0.206702515,0.990137339,0.244025186,1.061398149,-0.55649066,0.959078968,0.813890159,0.539291739,-0.272010863,0.992680311,0.275738686,1.046112776,-0.599618316,0.960887015,0.796703041,0.545743763,-0.209132552,0.993526578,0.279318959,1.006173849,-0.517635524,0.959306955,0.425390393,0.953110099,0.081875667,0.98402977,0.31492275,0.964993536,-0.080378182,0.988553047,0.449783027,1.302313566,0.165991515,0.319051296,0.316754878,1.300989151,-0.016108144,0.613535404,0.423744977,1.622802734,0.535891891,0.019795032,0.319117606,1.621429443,0.39550364,0.014884247,0.407239616,1.670640707,0.562784612,0.062127441,0.306525111,1.673893452,0.425262362,0.040542908,0.462952554,1.737709403,0.45661813,0.011437242,0.362808496,1.728032947,0.266660273,0.00463442
